codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes
17400111,Programa @lis/ Aliança p/a Sociedade da lnformação - SMCIS,0,0.00,0,0.00
17400112,PMSP/SMRI - Saúde Pública,0,0,0,0
17400113,Programa URB-AL - Projeto Comum R7-A3-03,15000,0.00,0,0
17400114,Programa URB-AL - Projeto Comum R5-B2-04 - Centros de Cidadania da Mulher,0,18039.74,0,18.039.74
17400115,Programa URB-AL - Projeto Comum R3-B1-04 - Observatórios Locais da Democracia Participativa,0,0,0,0.00
17400117,Intercâmbio Citties Alliance,0,0,0,0
17400118,Programa URBAL- Projeto Comum R12- A1-04,0,0,0,0
17400119,Projeto URB-AL  Europa e América latina - Practicar,0,0,0,0
17500000,TRANSFERÊNCIAS DE PESSOAS,49000000,181536.91,0.37,5672209.48
17500100,FUNCAD - lmposto de Renda,46000000,52.678.00,0.11,5418225.55
17500200,FMAS,3000000,128858.91,4.30,253983.93
17500300,Doações e Legados PF - FUNCAP,0,0,0.00,0.00
17600000,TRANSFERÊNCISA DE CONVÊNIOS,214134200,1.105.588.68,0.52,3145094.21
17610000,TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO E DE SUAS ENTIDADES,119221300,21199.68,0.02,596827.38
17610100,TRANSFERÊNCIAS DE CONVÊNIOS DA UNOÃO P/ O SISTEMA ÚNICO DE SAÚDE-SUS,7086000,21.259.21,0.3,353948.91
17610101,FUMDES/Convênio DST/AIDS,1000,0,0,0
17610102,Convênio DENGUE/FUMDES,0,0,0,0.00
17610103,Outros Convênios SMS/FUMDES,7085000,21259.21,0.3,353948.91
17610200,TRANSFERÊNCIAS DE CONVÊNIOS DA UNIAO DESTINADAS A PROGRAMAS DE EDUCAÇÃO,43645000,0,0,0
17610201,Gonvênio Programa Nacional de Alimentação Escolar - FNDE,41610000,0,0,0
17610202,Convênio MEC/FNDE - Assistência Financeira a Programas e Projetos Educacionais,2000000,0.00,0,0
17610203,Convênio n.º 80007/03 - FNDE/MEC - Educação Pré-Escolar,0,0,0,0
17610204,Convênio n.º 804142/03 - FNDEMEC - Ensino Fundarnental,0,0.00,0,0
17610205,Convênio n.º  808065/03 - FNDE/MEC - Educação de Jovens e Adultos,0,0,0,0
17610206,Convênio n.º  816169/03 - FNDE/MEC - Educação Especial/Curso deCapacitação de Docentes,0,0,0,0
17610207,"Convênio n"" 820005/03 - FND/MEC - Ensino Fundamental/Formação Continuada de Docentes da 5.ª á  8.ª Séries",0,0,0,0
17610208,Convênio nº  828118/03- FND/MEC - Curso de Alfabetizagção de Jovens e Adultos,0,0,0,0
17610209,Centro Municipal de Educação  Tecnológica Convênio MEC/SEFET-SP,0,0,0,0
17610210,Carta de Acordo MEC/SEESP - Programa Educação Inclusiva,35000,0,0,0
17610300,TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO DESTINADAS A PROGRAMAS DE ASSISTÊNCIA SOCIAL,45500000,0,0,0
17610301,PMSP/SAS/FMAS,"45,500,000,00",0,0,0
17610302,FUMCAD,0.00,0,0,0
17610400,TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO  DESTINADAS A PROGRAMAS DE COMBATE A FOME,0,0,0,0
17610401,Programa Rede Solidária de Restaurantes Populares - PMSP/SEMAB/MDS,0,0,0,0
17610402,Programa Banco Municipal de Alimentos - PMSP/SEMAB/MDS,0,0,0,0.00
17619900,OUTRAS TRANSFERÊNCIAS DE CON\/ÊNIOS DA UNIÃO,22990300,-59.53,0,242878.47
17619903,Convênio Embratur - Urbis,0,0,0,0
17619904,Plano Minicipal  de Qualificação Social e Profissional - MTE/SDTS,0,0,0,0
17619907,convênio CRMV-SP/CCZ-SP,0,0,0,0
17619908,Convênio mnistério das Relações  Exteriores,0,0,0,0
17619909,Gonvênio Ministerio do Turisno,0,0,0,0.00
17619910,Programa de Modernização do Sistema de Controle Externo dos Estados e Municipios Brasileiros - Promoex/MP/BlD,0,0,0,0.00
17619912,Convênio Secretaria Nacional de Seguranga Pública - SENASP ,0,0,0,0
17619913,PMSP/SDTS -Plansine - FAT,0,0,0,242938
17619914,Convênio PMSP/SDTS - PlanTeQ/2004 - FAT,0,0,0,0
17619915,Convênios MINC/SMC,0,0,0,0
17619916,Convênio PMSP/SDTS - SEPPIR - GRPE,500000,0,0,0
17619917,Convênio SEME - União,3300000,0,0,0
17619918,Convênio SVMA - União,0,0,0,0
17619919,Conênio PMSP/SEPP x UNIÃO,0,0,0,0
17619920,Convênio MTE/SPPE/CODEFAT,15065200,-59.53,0,-59.53
17619921,Convênio MTE/SPPE x PMSP/SMTRB - Projovem,3025100,0,0,0
17619922,Convênio CMDH - União,1100000,0,0,0
17620000,TRANSFERÊNCIA DE CONVÊNIOS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS ENTIDADES,76654000,1084389,1.41,2548266.83
17620100,TRANSFERÊNCIAS DE CONVÊNIO DOS ESTADOS P/O SISTEMA ÚNICO DE SAÚDE - SUS,31802000,0,0,0
17620101,Convênio Programa de Assistência Farmaceútica Básica do Estado de Paulo - Dose Certa,1000,0,0,0
17620102,Secretaria de Estado da Saúde - SMS/FMS,31802000,0,0.00,0
17620200,TRANSFERÊCIAS DE CONVÊNIO DOS ESTADOS DESTINADAS A PROGRAMAS DE EDUCAÇÃO,"13.200,000,00",1012389,7.67,1012389
17620201,Convênio SME - Estado,13200000,"1,012,389,00",7.67,1535877.83
17629900,OUTRAS TRANSFERÊNCIAS DE CONVÊNIO DOS ESTADOS,31652000,72000,0.23,"1535,877,83"
17629901,Programa Revisão do do Benefício de Prestação  Continuada - BPC,900000,0,0,0
17629902,Programa Estação Cidadania,0,0,0,0
17629903,Projeto Criando Asas - Resolução  SEADS 10 de 07/05/02,0,0,0.00,0
17629904,Programa Fortalecendo a Familia - Resolução SEADS 11 de 08/05/02,0,0,0,0
17629905,Programa de Atendimento ao ldoso,0,0,0,0
17629906,Programa acolher/Atendimento ao Migrante,0,0,0,0
17629907,Programe Ação de Inclusão Social e Proteção Especial - SAS,0,0,0,0.00
17629908,Programa Sócio-Educativo em Meio- Aberto - Espaço Amigo - SAS,0,0.00,0,0.00
17629909,Prqrama PPD - Segmento Pessoa com Deficiêcia - SAS,0,0,0,0
17629910,Proteção Social Básica/FMAS,10000000,0,0,467686.5
17629911,Proteção Social Especial/FMAS,17752000,72000,0.41,1068191.33
17629912,Convênio SEME - Estado,3000000,0,0,0
17629913,Convênio SSP/SP - SGM/CSU,0,0,0,0
17629914,Convênio SERT n.º  0067/2006 - Banco do Povo Paulista,0,0,0,0
17640000,TRANSFERÊNCIA DE CONVÊNIOS DE INSTITUIÇÕES  PRIVADAS,1000000,0,0,0
17640100,PMSP- Programa Gestão Pública e Cidadania- SMCIS,0,0,0,0
17640200,Convênio SEME - Instuições Privadas,1000000,0.00,0,0
17640300,Convênio SME - Instituições Privadas,0,0,0,0
17650000,TRANSFERÊNCIAS DE CONVÊNIOS DO EXTERIOR,17258900,0,0,0
17650100,Convênio SMADS - União Européia,15258900,0,0,0
17650200,Convênio SEME - Exterior,2000000,0,0,0
19000000,OUTRAS RECEITAS CORRENTES,1361555900,145016598.53,10.65,271257587.6
19100000,MULTAS E JUROS DE MORA,"753.087,600,00",39296220.29,5.22,95646734.23
19110000,MULTAS E JUROS DE MORA  DOS TRIBUTOS,85083900,5337048.13,6.27,12514354.35
19110200,MULTAS E JUROS DE MORA- IMPOSTO DE RENDA E PROVENTOS DE QUALQUER NATUREZA,30400,156.18,0.51,356.14
19110203,Multas e Juros de mora  do lmposto s/ a Renda Retido nas Fontes,"30,400,00",156.18,0.51,356.14
19113800,MULTAS E JUROS DE MORA DO IMPOSTO S/ APROPRIEDADE PREDIAL E TERRITORIAL URBANA. IPTU,32147600,"1,948.887,02",6.06,4088776.43
19113801,MULTAS E JUROS DE MORA DO IMPOSTO S/ APROPRIEDADE PREDIAL E TERRITORIAL URBANA. IPTU,32147600,1948887.02,6.06,4088776.43
19113900,MULLTAS E JUROS DE MOIRA DO IMPOSTO S/ATRANISMISSÃO INTER-VTVOS DE BENS IMOVEIS-ITBI,4347200,470084.84,10.81,1039720.24
19113901,MULLTAS E JUROS DE MOIRA DO IMPOSTO S/ATRANISMISSÃO INTER-VTVOS DE BENS IMOVEIS-ITBI,"4.347,200,00",470084.84,10.81,1039720.24
19111400,MULTAS E JUROS DE MORA DO IMPOSTO S/SERVIÇOS DE QUALQUER NATUREZA - ISS,"33.266,300,00",2438055.65,7.33,6.227.056.95
19114001,MULTAS E JUROS DE MORA DO IMPOSTO S/SERVIÇOS DE QUALQUER NATUREZA - ISS,33266300,2438055.65,7.33,6227056.95
19119800,MULTAS E JUROS DE MORA DAS CONTRIBUIÇÕES DE MELHORIA,"100,500,00",954.06,0.96,1478.46
19119801,MULTAS E JUROS DE MORA DAS CONTRIBUIÇÕES DE MELHORIA,100500,964.06,0.96,1478.46
19119900,MULTAS E JUROS DE MORA DE OUTROS TRIBUTOS,15191900,478900.38,3.15,1156966.13
19119901,MULTAS E JUROS DE MORA DE OUTROS TRIBUTOS,15183700,478900.38,3.15,1156966.13
19119903,MULTAS E JUROS DE MORA DO IVV,8200,0,0,0
19130000,MULTAS E JUROS DE MORA  DA DÍVIDA ATIVA DOS TRIBUTOS,138117100,5474547.49,3.96,12189769.46
19131100,MULTAS E JUROS DE M|ORA DA DÍVIDA ATIVA DO IMPOSTO S/A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - IPTU,109813600,4288348.05,3.91,9602978.3
19131101,MULTAS E JUROS DE M|ORA DA DÍVIDA ATIVA DO IMPOSTO S/A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - IPTU,109813600,4288348.05,3.91,9602978.3
19131200,MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DO IMPOSTO S/A TRATRASMISSÃO INTER.VIVOS DE BENS IMOVEIS- ITBI,"754,700,00",24182.32,3.2,37857.69
19131201,MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DO IMPOSTO S/A TRATRASMISSÃO INTER.VIVOS DE BENS IMOVEIS- ITBI,754700,24182.32,3.2,37857.69
19131300,MULTAS E JUROS DE MORA DA DIVÍDA ATIVA DO IMIPOSTO S/A SOBRE SERVIÇOS DE QUALQUER NATUREZA-ISS,8734700,389051.47,4.45,898461.13
19131301,MULTAS E JUROS DE MORA DA DIVÍDA ATIVA DO IMIPOSTO S/A SOBRE SERVIÇOS DE QUALQUER NATUREZA-ISS,8734700,389051.47,4.45,898461.13
19139800,MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DAS CONTRIBUIÇÕES DE MELHORIA,1578700,52556.66,3.33,"113,717.95"
19139801,MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DAS CONTRIBUIÇÕES DE MELHORIA,1578700,52556.66,3.33,113.717.95
19139900,MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTROS TRIBUTOS,17235400,720408.99,4.18,1.536.754.39
19139901,Multas e juros de mora da Dívida ativa IVV,77200,605.54,0.78,605.54
19139902,MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTROS TRIBUTOS,17158200,719803.45,4.20,1536148.85
19150000,MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTRAS RECEITAS,0,0,0,0
19159900,OUTRAS MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTRAS RECEITAS,0,0,0,0
19159903,Multa e juros de mora da dívida ativa-FEMA,0,0,0,0
19159904,Multa e juros de mora da dívida ativa-FUNCAD,0,0,0,0
19190000,MULTAS DE OUTRAS ORIGENS,529886600,28484624.67,5.38,70942610.42
19191000,MULTAS PREVISTAS NA LEGISLAÇÃO SANITÁRIA,2000,0,0,0
19191001,Multas p/ não fornecimento de material educativo da AIDS-FMS,1.000.00,0.00,0,0
19191002,Mulas Previstas na Legislação Sanitária-FMS,1000,0,0.00,0.00
19191003,Multa Zoonoses,0.00,0,0,0.00
19191100,MULTAS DIVERÇAS,9499300,430902.7,4.54,1.070.245.59
19191101,Multas SMSP-Sistema Velho,0,492.18,0,848.18
19191102,Multas SMSP-Sistema Novo,9499300,430410.52,4.53,"1,069.397.41"
19191103,FUMDES,0.00,0,0,0
19191105,FUNCOR,0,0,0,0
19191500,MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO,514621400,27512392.46,5.35,69012899.8
19191501,Multas de Trânsito-DSV,"496.206,000,00",27463697.81,5.53,68896503.19
19191502,Multas de trânsito veiculos de outros municipios,8000000,48694.65,0.61,116396.61
19191503,Multas por Transporte de Produtos perigosos-DSV,627000,0,0,0.00
19191504,Multas de Trânsito de veículos de outros Estados-RENAINF,9788400,0,0,0
19192700,MULTAS E JUROS PREVISTOS EM CONTRATOS,4313300,437641.17,10.15,683864.58
19192701,Multas e juros /Empresas Municipais,795700,0,0.00,8218.89
19192702,Multas e juros /Contratos PMSP,"3.517,600,00",437641.17,12.44,675645.69
19193200,MULTA DECORRENTE DE SENTENÇA PENAL  CONDENATÓRIA,6300,164,2.60,328
19193201,FUNCAD,5100,164,3.22,328
19193202,Multas - Sentença Penal Condenatória - FISC,1200,0,0,0
19193500,MULTAS POR DANOS AO MEIO AMBIENTE,"156,900,00",21549.49,13.73,38738.47
19193501,Poluição Ambiental - DECONT,0,0,0.01,0
19193502,FEMA,156900,21549.49,13.73,38738.47
19195000,MULTAS POR AUTO DE INFRAÇÃO,10000,0.00,0.00,0
19195001,Multas Alto de Infação - Rl,10000,0,0.00,0
19195002,Multas por Auto de Infração - FUNCAP,0,0,0,0
19199900,OUTRAS MULTAS,1277400,81974.85,6.42,136.533.98
19199901,Multas e Juros Diversos - PMSP,1046400,81974.85,7.83,136533.98
19199902,Outras Multas-FMS,1.000.00,0,0,0
19199903,Outras Multas - FUNCAP,230000,0,0,0
19200000,INDENiZAÇÔES E RESTTTUIÇÕES,38327800,506805.6,1.32,1734439.8
19210000,INDENIZAÇÕES,45900,0,0,0
19210600,INDENIZAÇÕES p/ DANOS CAUSADOS AO PATRIMONIO PÚBLICO,4500,0,0,0
19210601,Indenizações p/ Calçamentos Repostos,4500,0,0,0
19219900,OUTRAS INDENIZAÇÕES,"41,400,00",0,0.00,0
19219901,Outras Indenizações- PMSP,41400,0,0,0
19220000,RESTITUIÇÕES,38281900,506805.8,1.32,1734439.8
19220100,RESTITUIÇOES DE CONVÊNIOS,227300,257244.12,113.17,257244.12
19220101,Ressarcinento por Aplicação indevidada URV/94- SUS,227300,257244.12,113.17,257244.12
19220200,RESTITUIÇÃO DE BENEFÍCIOS NÃO DESENBOLSADOS,0,0,0.00,0.00
19220700,RECUPERAÇÃO DE DESPESAS DE EXERCICÍOS ANTERIORES,0,0,0,0
19229900,OUTRAS RESTITUIÇÕES,38054600,249561.48,0.66,1477195.68
19229901,Restituições Diverças,31967900,238591.13,0.63,1455541.45
19229902,Reembolso Salário Familia,86700,10970.35,12.65,21554.23
19300000,RECEITA DA DÍVIDA ATIVA,204444100,10084502.04,4.93,20166497.34
19110000,RECEITA DA DÍVIDA ATIVA TRIBUTÁRIA,191330400,9067793.01,4.74,18343868.45
19311100,RECEITA DA DÍVIDA ATIVA DO I MPOSTO S/A PROPRIEDADE PREDIAL E TERRITORIAL URBANA- IPTU,162572200,7815860.78,4.81,16262384.68
19311200,RECEITA DA DÍVIDA ATIVA DO I MPOSTO S/A TRANSMISSÃO INTER-VIVOS DE BENS IMOVEIS-ITBI-IV,661800,18.964.53,2.87,30271.11
19311300,RECEITA DA DÍVIDA ATIVA DO I MPOSTO S/A SERVIÇOS DE QUALQUER NATUREZA-ISS,19233000,621594.32,3.23,1312410.05
19319800,RECEITA DA  DÍVIDA ATIVA DAS CONTRIBUIÇÕES DE MELHORIA,1894000,47794.31,2.52,103918.8
19319900,RECEITA DA DÍVIDA ATIVA DE OUTROS TRIBUTOS,6.969.700.00,563579.07,8.09,634883.81
19319901,Receita da Divida ativa de Outros Tributos- Principal PMSP,6639700,562749.87,8.48,633705.32
19319903,FISC,284100,0,0,349.29
19319904,Receita da Divida Ativa do Imposto s/Venda a Vareio de Combustiveis Liquidos e Gasosos - lW,45900,829.2,1.81,829.2
19320000,RECEITA DA DÍVIDA ATIVA NAO TRIBUTÁRIA,13113700,1016709,7.75,1822628.89
19329900,RECEITA DA DÍVIDA ATIVA NÃO TRIBUTÁRIA DE OUTRAS RECEITAS,13.113.700.00,1016709.03,7.75,1822628.89
19329903,Receita da Divida Ativa/FEMA,0,0,0,0
19329904,Receita da Divida Ativa/FUMCAD,0,0,0,0
19329905,JUD - Sistema Convencional,0,0,0,0
19329906,JUD,13113700,1016709.03,7.75,1822628.89
19900000,RECEITAS DIVERSAS,365696400,95129070.6,26.01,153709916.23
19900100,RECEITA DO PROGRAMA DE RECUPERÇÃO FISCAL E DO PARCELAMENTO ESPECIAL - OUTRAS RECEITAS,189429700,26329043.51,13.90,67525310.57
19900101,REFIS,10793300,623765.46,5.78,1281162.15
19900102,Programa de Parcelamento Incentivado - PPI,178636400,25705278.05,14.39,66244148.42
19900200,RECEITA DE ÔNU  DE SUCUMBÊNCIA DE AÇÕES JUDICIAIS,33559600,"1.445.131 ,87",4.31,9564100.37
19900201,Receita de Honorários de Advogados,33.559.600.00,"1.445.131 ,87",4.31,9564100.37
19900202,Receita de Ônus de Sucumbência,0.00,0,0,0
19900300,RECEITA DECORRENTE DE ALIENAÇÃO DE BENS APREENDIDOS,0.00,0,0,0
19900301,Receita de Leillões de Mercadorias Apreendidas,0,0,0,0
19909900,OUTRAS RECEITAS,142.707.100.00,67354895.22,47.2,76620505.29
19909901,FEPAC,99.000.00,6843.64,6.91,37873.67
19909902,FMS/SMS,1000,0,0,0
19909903,FUMCAD,26700,0,0,0
19909904,Tarifa Bancária,149200,11.88,0,32.83
19909905,FUNCOR,0,0,0,0
19909906,FUTUR,0,0,0,0
19909907,FMAS,0,0,0,0
19909908,FEMA,2555600,308155,12.06,376.556.07
19909909,Saldo não Utilizado do Adiantamenlo,1715900,69596.02,4.06,447321.86
19909910,Saldo não Utilizado do Adiantamento - FUNDURB Outorga Onerosa,0,0,0,0.00
19909911,Fundo Especial de Depesas da Câmara Municipal de São Paulo,268100,0,0,0
19909912,Receita de Cancelamento de Restos a Pagar,91554900,63961772.85,69.86,70088233.9
19909913,Outras Receitas,1831400,0,0,0
19909914,Outras Receitas - FMS,0,0,0,0
19909915,Saldo não Ultilizado do Adiantamento - FUMCAD,0,0,0,0
19909916,Saldo não Ultilizado do Adiantamento - FMH,0,0,0,0
19909917,Saldo não Ultilizado do Adiantamento - FUNCOR,0,0,0,0
19909918,Saldo não Ultilizado do Adiantamento - FMAS,0,0,0,0
19909919,Saldo não Ultilizado do Adiantamento - FEMA,0,0,0,0
19909920,Saldo não Ultilizado do Adiantamento - FEPAC,0,0,0,0
19909921,Saldo não Ultilizado do Adiantamento - FUTUR,0,0,0,0
19909922,Eventuais Diversos - PMSP,39786700,2911988.67,7.32,5573960.42
19909923,Leilões - DSV/SPTRANS/CET,2499400,0,0,0
19909924,Leilões - DTP,916500,0,0,0
19909925,Oferta Publica de Recursos - Descontos Obtidos,0,0,0,0
19909926,Receitas Diversas - FUNCAP,0,0,0,0
19909927,Leilões - FUNDIP,0,0,0,0
19909999,Documentos Eletronicos a Classificar,1302700,96526.64,7.41,96526.64
20000000,RECEITAS DE CAPITAL,1568774000,3452387.86,0.22,94984632.3
21000000,OPERAÇÕES DE CRÉDITO,284426700,0,0,4431383.73
21100000,OPERAÇÕES DE CRÉDITO INTERNAS,57410000,0,0,0
21110000,TÍTULOS DE RESPONSABILIDADE DO TESOURO,0,0,0,0
21110100,TÍTULOS DE RESPONSABILIDADE DO TESOURO REFINÃNCIAMENTO DA DIVÍDA PÚBLICA,0,0,0,0
21140000,OPERAÇÕES DE CRÉDITO INTERNAS - CONTRATUAIS,57410000,0,0,0
21140500,OPRERAÇÕES DE CRÉDITO INTERNAS P/PROGRAMAS DE MODERNIZAÇÃO DA ADMINISTRAÇÃO PÚBLICA,18346000,0,0,0
21140501,Programa de Modenização da Administração Tributária- PMAT/BNDES,18346000,0,0,0
21149900,OUTRAS OPERAÇÕES DE CRÉDITO INTERNAS CONTRATUAIS,39064000,0,0,0.00
21119901,Habitação-CEF,0,0,0,0
22119901,Transporte I- BNDES,0,0,0.00,0
21149903,Transportell - BNDES,0,0,0,0
21149904,Transportelll - BNDES,39064000,0,0,0
21200000,OPERAÇÕES DE CRÉDITO EXTERNAS,227016700,0,0,4431383.73
21230300,OPERAÇÕES DE CRÉDITO EXTERNAS CONTRATUAIS,227016700,0,0,4431383.73
21230301,OPERAÇÕES DE  CRÉOTO EXTERNAS P/ PROGRAMAS DE SANEAMENTO,28376000,0,0,4431383.73
21239900,PROCAV I - BID,0,0,0,0
21239901,PROCAV II - BID,28376000,0.00,0,4431383.73
21239902,OUTRAS OPERAÇÕES DE CRÉDITO EXTERNAS-CONTRATUAIS,198640700,0,0,0
21239903,PROCENTRO- BID,194990700,0,0,0
22000000,Habitação-BID,0.00,0.00,0,0
22100000,PNAFM,3750000,0.00,0,0
22200000,ALIENAÇÃO DE BENS,300742200,0,0,0
23000000,ALIENAÇÃO DE BENS MÓVEIS,729000,0,0,0
23009900,ALIENAÇÃO DE BENS IMÓVEIS,300013200,0,0,0
23009901,AMORTIZAÇÃO DE EMPRÉSTIMOS,4141200,360531.8,8.71,644097.96
23009902,AMORTIZAÇÃO DE FINANCIAMENTOS DIVERÇOS,4141200,360531.8,8.71,644097.96
23009903,Amortização das Dívidas com o INSS-ANHEMBI,818700,71.277.14,8.71,127338.17
23009904,Amortização das Dívidas com o INSS-CET,188000,16368.14,8.71,29242.04
23009905,Amortização das Dívidas com o INSS-COHAB,0,0,0,0
23009906,Amortização das Dívidas com o INSS-PRODAM,286200,24912.75,8.7,44507.17
24000000,Amortização das Dívidas com o INSS-SPTRANS,2712900,"236,184,38",8.71,421.948.58
24200000,Amortização das Dívidas com o INSS-EMURB,135.400.00,11789.39,8.71,21062
24210000,TRANSFERÊNCIA DE CAPITAL,708401300,-2313465.24,-0.33,14413671.8
24210100,TRANSFERÊNCIAS GOVERNAMENTAIS,138192300,-2367263.99,-1.71,309.320.11
24210101,TRANSFERÊNCIAS DA UNIÃO,62141300,-2267263.99,-3.81,309320.11
24210102,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS,17194000,0,0,0
24210103,Transferêcias de Recurrsos do SUS,3000000,0,0,0.00
24210104,Projetos Municipais de Expanção da Saúde da Famllia -Proesf-FNS/FMS (FUNDES),8100000,0,0,0.00
24210105,Programa Nacional  de HIV AIDS/DST - FMS,347000,0,0,0
24210106,Piso da Atenção Básica - PAB - Epidemiolologia e Controle de Doeças-FMS,1330000,0,0,0
24210107,Gestão  Plena do Sistema Municipal de Saúde - FMS,2000000,0,0,0
24210108,Programa Farmácia Pupular do Brasil - FNS/FMS,290000,0,0.00,0
24210200,Programa Centros de Especialidades Odontológicas - FNS/FMS,290000,0,0,0.00
24210201,VIGISUS - Fortalecimento da Gestiio ern Vigildncia - MS/FNS - SMS/FMS,183700000,0,0,0
24210202,TRANSFERÊNCIAS DE RECURSOS DESTINADOS A PROGRAMAS DE EDUCAÇÃO,840000,0,0,0
24219900,Prograna Nacional de Alimentação Escolar - PNAE/FNDE,0,0,0.00,0
24219901,Programa Dinheiro Direto na Escola -PDDE/FNDE,840000,0,0,0
24219902,OUTRAS TRANSFERÊNCIAS DA UNIÃO,44107300,-2367263.99,-5.37,309.320.11
24219904,Fundo Especial Lei 7525/86 - Petrobrás,1200300,110736.01,9.23,213817.76
24219905,Programa de Reestruturação Urbana - Sistema Viário JacúPessego / Ministério das Cidades/CEF,0,0,0,0.00
24219906,Fundação Ensino Técnico e Superior,0,0,0,0
24219907,Radial Leste,0,-2478000,0,0
24219908,Programa de Drenagem/Mnistério da Integração Nacional,0,0,0,0
24219909,Programa Morar Melhor - Contrato n.º 157898-38/2003 - Mnistério das Cidades/CEFXSEME,0,0,0,0.00
24219910,Programa Brasil Potência Esportiva,861000,0,0,0
24219911,Ministério do Esporte/CEF x SEME,836000,0,0,0
24219912,Programa Morar Melhor,0,0,0,0
24219913,Programa de Reestruturação Urbana - Sistema Viário - Mnistério das Cidades/CEF,0,0,0,0
24219914,Programa Morar no Centro,6200000,0,0,0.00
24219915,Programa Bairro Legal,0,0.00,0,0
24219916,Programa Multirão/SEHAB,200000,0,0,0
24219917,PMSP/ PAT- PROSANEAR - MOCIDADES/CEF - HABl,2310000,0,0,95502.35
24219918,PMSP x MOCIDADES /CEF - Contrato de Repasse n.º 0174641-03/2005-HABI,32500000,0,0,0.00
24220000,TRANSFERÊNCIAS DOS ESTADOS,76051000,0,0,0
24220100,TRANSFERÊNCISS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE-SUS   ,75051000,0,0,0
24220101,Secretaria de Estado da Saúde - SMS/FMS,76051000,0,0,0.00
24229900,OUTRAS TRANSFERÊNCIAS DOS ESTADOS,0,0,0,0
24300000,TRANSFERÊNCIAS DE |NSTITUIÇÕES PRIVADAS,0,0,0,0.00
24300100,Planetário do Parque do lbirapuera/Nestlé Brasill Ltda.,0,0,0,0.00
24300200,Planetário do Parque do lbirapuera,0,0,0,0
24300300,Reforna da Escola Municipal de Astrofísica,0,0,0,0
24300400,Pacela para Recuperação de Avenidas e Ruas Comerciais,0,0,0,0.00
24300500,Convênio Urbis,0,0,0,0
24400000,TRANSFERÊNCIAS DO EXTERIOR,7501100,4509.93,0.06,4509.93
24400200,Programa URB-AL - Projeto Comum R5-B2-04 - Centros de Cidadania da Mulher,442600,4509.93,1.02,4509.93
24400300,Programa URB-AL - Proieto Comum R3B1-04 - Observatórios Locais da Dernocracia Participativa,73800,0,0.00,0.00
24400400,Programa de Melhoria de Transporte e Qualidade do Ar para São Paulo-BIRD/GEF-PPGTF055202,3850000,0,0,0
24400500,Programa URB-AL - Projeto Comum R12- A1-04,16200,0,0.00,0
24400600,Programa URB-AL Rede n.º 10,78400,0,0.00,0
24400700,Prograrna lle de France,1938000,0,0,0
24400800,Evento Internacional 'URBAN - AGE',760100,0,0,0
24400900,Portal da Asia - SMRI,342000,0.00,0,0
24700000,TRANSFERÊNCIAS DE CONVÊNIOS,562707900,49288.02,0.01,14099841.76
24710000,TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO E DE SUAS ENTIDADES,282662400,0,0.00,20000
24710100,TRANSFERÊNCIAS DE CONVÊNIO DA UNIÃO P/ O SISTEMA ÚNICO DE SAÚDE-SUS,57804000,0,0,0
24710101,Convênio DST/AIDS/FMS,1000,0,0,0
24710102,Convênio Dengue/FMS,0,0,0.00,0
24710103,Outros Convênios SMS/FMS,35662000,0,0.00,0.00
24710104,CEUs Saúde,0,0,0,0
24710105,Hospital M BOI Mirim,22140000,0,0,0
24710106,Hospital Cidade Tiradentes,1000,0,0,0
24720200,TRANSFERÊCIAS DE CON\/ÊNIO DA UNIÃO DESTINADAS APROGRAMAS DE  EDUCAÇÃO ,100000,0,0,0.00
24720201,Convênio MEC/FNDE - Assistência Financeira a Programas e  Projetos Educacionais,100000,0,0,0
24720202,Convênio n.º 80007/03 - FNDE/MEC Educação Pré Escolar,0,0,0,0
24720203,Convênio n.º 804142/2003- FNDE/MEC Ensino Fundamental,0,0,0.00,0
24720204,Convenio no 808065/03 - FNDE/MEC- Educação de Jovens e Adultos,0,0,0,0
24720205,Convênio n.º 816169/2003 - FNDE/MEC - Educação Especial/Curso de Cacitação de Docentes,0,0,0.00,0
24720206,Convênio n.º 820005/2003 - FNDE/MEC - Ensino Fundamental/Formação Continuada de Docentes da 5.ª a 8ª séries,0,0,0,0
